|Tags|GEN|SIM|DIGI|L1|DIGI2RAW|HLT|AOD|MINIAOD|NANOAOD|
|EcalSCDynamicDPhiParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalSRSettingsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalSRSettingsRcd / fullReadout |  |  |  |  |  |  |  |  |  | 
|EcalSampleMaskRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalSamplesCorrelationRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalSimComponentShapeRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalSimPulseShapeRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTBWeightsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTPGCrystalStatusRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGFineGrainEBGroupRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGFineGrainEBIdMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGFineGrainStripEERcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGFineGrainTowerEERcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGLinearizationConstRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGLutGroupRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTPGLutIdMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTPGOddWeightGroupRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGOddWeightIdMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGPedestalsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGPhysicsConstRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTPGSlidingWindowRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGSpikeRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGStripStatusRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGTPModeRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGTowerStatusRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGWeightGroupRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTPGWeightIdMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalTimeBiasCorrectionsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTimeCalibConstantsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalTimeOffsetConstantRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalWeightXtalGroupsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin1_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin1_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin2_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin2_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin3_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_Full_ptbin3_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_ZS_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EB_ZS_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin1_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin1_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin2_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin2_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin3_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_Full_ptbin3_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_ZS_mean_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCor2017V2_EE_ZS_sigma_25ns |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize1_mean_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize1_mean_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize1_sigma_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize1_sigma_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize2_mean_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize2_mean_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize2_sigma_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize2_sigma_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin1_mean_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin1_mean_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin1_sigma_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin1_sigma_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin2_mean_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin2_mean_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin2_sigma_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin2_sigma_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin3_mean_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin3_mean_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin3_sigma_25ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EB_pfSize3_ptbin3_sigma_50ns |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / ecalPFClusterCorV2_EE_pfSize1_mean_25ns |  |  |  |  |  |  |  |  |  | 
